1575,1.488,44.318
1585,1.500,44.531
1595,1.493,45.388
1605,1.491,45.941
1615,1.491,46.492
1625,1.490,46.452
1635,1.497,46.270
1645,1.499,46.142
1655,1.497,46.240
1665,1.492,46.287
1675,1.490,46.291
1685,1.491,46.275
1695,1.489,46.320
1705,1.487,46.393
1715,1.489,46.264
1725,1.489,46.215
1735,1.489,46.231
1745,1.487,46.340
1755,1.484,46.380
1765,1.485,46.385
1775,1.484,46.405
1785,1.482,46.451
1795,1.482,46.405
1805,1.482,46.421
1815,1.482,46.473
1825,1.482,46.522
1835,1.481,46.569
1845,1.482,46.522
1855,1.482,46.491
1865,1.482,46.493
1875,1.480,46.518
1885,1.481,46.490
1895,1.481,46.528
1905,1.480,46.529
1915,1.480,46.541
1925,1.480,46.509
1935,1.479,46.546
1945,1.480,46.535
1955,1.479,46.572
1956,1.547,45.312
1966,1.461,47.230
1976,1.466,47.247
1986,1.479,46.825
1996,1.471,46.665
2006,1.470,46.783
2016,1.474,46.632
2026,1.470,47.106
2036,1.470,47.242
2046,1.462,47.682
2056,1.469,47.494
2066,1.466,47.501
2076,1.465,47.495
2086,1.463,47.501
2096,1.464,47.407
2106,1.465,47.139
2116,1.467,47.089
2126,1.468,47.167
2136,1.469,47.086
2146,1.467,47.120
2156,1.467,47.003
2166,1.466,47.082
2176,1.465,47.105
2186,1.464,47.169
2196,1.461,47.245
2206,1.459,47.292
2216,1.459,47.321
2226,1.459,47.342
2236,1.461,47.328
2246,1.461,47.329
2256,1.459,47.404
2266,1.461,47.400
2276,1.461,47.391
2286,1.461,47.378
2296,1.460,47.395
2306,1.461,47.369
2316,1.461,47.353
2326,1.461,47.313
2336,1.459,47.416
2346,1.459,47.444
2347,1.480,44.531
2357,1.439,48.722
2367,1.432,48.475
2377,1.439,47.984
2387,1.434,48.228
2397,1.423,48.545
2407,1.429,48.169
2417,1.430,48.063
2427,1.433,47.695
2437,1.438,47.734
2447,1.436,47.842
2457,1.437,47.776
2467,1.434,48.018
2477,1.431,48.080
2487,1.434,48.127
2497,1.432,48.163
2507,1.433,48.219
2517,1.433,48.150
2527,1.433,48.243
2537,1.430,48.438
2547,1.430,48.449
2557,1.430,48.515
2567,1.428,48.501
2577,1.428,48.515
2587,1.430,48.431
2597,1.432,48.372
2607,1.432,48.458
2617,1.432,48.458
2627,1.431,48.476
2637,1.433,48.405
2647,1.431,48.479
2657,1.432,48.448
2667,1.430,48.489
2677,1.431,48.499
2687,1.431,48.504
2697,1.431,48.555
2707,1.432,48.507
2717,1.432,48.507
2727,1.432,48.513
2737,1.433,48.502
2738,1.350,54.688
2748,1.374,50.852
2758,1.376,51.004
2768,1.391,50.227
2778,1.398,49.714
2788,1.412,49.280
2798,1.406,49.488
2808,1.407,49.681
2818,1.408,49.585
2828,1.405,49.614
2838,1.406,49.520
2848,1.408,49.345
2858,1.410,49.354
2868,1.408,49.433
2878,1.413,49.147
2888,1.412,49.219
2898,1.413,49.127
2908,1.415,49.086
2918,1.419,49.012
2928,1.419,48.920
2938,1.416,48.962
2948,1.416,49.011
2958,1.415,49.035
2968,1.414,49.073
2978,1.416,49.015
2988,1.416,49.069
2998,1.416,49.105
3008,1.417,49.057
3018,1.418,48.963
3028,1.416,49.028
3038,1.416,49.019
3048,1.416,49.030
3058,1.416,49.048
3068,1.415,49.018
3078,1.414,49.058
3088,1.414,49.041
3098,1.415,49.009
3108,1.414,49.071
3118,1.415,49.022
3128,1.413,49.062
3129,1.346,48.438
3139,1.319,51.420
3149,1.341,51.600
3159,1.352,51.210
3169,1.360,50.762
3179,1.363,50.781
3189,1.367,50.615
3199,1.371,50.495
3209,1.368,50.492
3219,1.374,50.429
3229,1.378,50.379
3239,1.377,50.472
3249,1.380,50.400
3259,1.379,50.310
3269,1.382,50.238
3279,1.383,50.191
3289,1.387,50.039
3299,1.388,49.963
3309,1.387,50.026
3319,1.388,49.984
3329,1.391,49.973
3339,1.394,49.874
3349,1.395,49.855
3359,1.396,49.875
3369,1.395,49.861
3379,1.395,49.816
3389,1.393,49.871
3399,1.392,49.939
3409,1.392,50.006
3419,1.391,50.054
3429,1.390,50.158
3439,1.390,50.161
3449,1.391,50.090
3459,1.390,50.080
3469,1.389,50.078
3479,1.389,50.109
3489,1.389,50.076
3499,1.388,50.093
3509,1.389,50.070
3519,1.389,50.096
3520,1.352,48.438
3530,1.332,49.574
3540,1.362,50.484
3550,1.370,50.277
3560,1.385,49.714
3570,1.389,49.694
3580,1.391,49.936
3590,1.392,50.066
3600,1.389,50.116
3610,1.387,50.172
3620,1.384,50.178
3630,1.385,50.014
3640,1.388,50.045
3650,1.387,50.143
3660,1.383,50.211
3670,1.382,50.217
3680,1.379,50.306
3690,1.382,50.270
3700,1.381,50.302
3710,1.380,50.327
3720,1.378,50.501
3730,1.380,50.396
3740,1.380,50.339
3750,1.382,50.237
3760,1.380,50.337
3770,1.382,50.364
3780,1.381,50.359
3790,1.380,50.424
3800,1.379,50.423
3810,1.380,50.416
3820,1.380,50.467
3830,1.380,50.472
3840,1.380,50.499
3850,1.380,50.517
3860,1.380,50.486
3870,1.380,50.492
3880,1.381,50.465
3890,1.380,50.484
3900,1.381,50.433
3910,1.382,50.406
