FC
Epoch: 1
[epoch:1, iter:71] Loss: 1.830 | Acc: 33.297%
[epoch:1, iter:81] Loss: 1.800 | Acc: 34.433%
[epoch:1, iter:91] Loss: 1.782 | Acc: 35.053%
[epoch:1, iter:101] Loss: 1.761 | Acc: 35.582%
[epoch:1, iter:111] Loss: 1.743 | Acc: 36.289%
[epoch:1, iter:121] Loss: 1.724 | Acc: 36.996%
[epoch:1, iter:131] Loss: 1.706 | Acc: 37.649%
[epoch:1, iter:141] Loss: 1.690 | Acc: 38.159%
[epoch:1, iter:151] Loss: 1.677 | Acc: 38.524%
[epoch:1, iter:161] Loss: 1.661 | Acc: 39.116%
